=== 2026 High Level Scope.xlsx ===
[Sheet: 2026 Estimates]
Rows: 56   Columns: 2
Headers: Sum of Estimate | Column Labels

Row Labels | PI27
CORE DATA HUB CAPABILITIES | 
CORE DATA HUB CAPABILITIES | 
CORE REVENUE MANAGEMENT CAPABILITIES | 120
CORE REVENUE MANAGEMENT CAPABILITIES | 
CORE REVENUE MANAGEMENT CAPABILITIES | 320
CORE REVENUE MANAGEMENT CAPABILITIES | 2826.3
CORE REVENUE MANAGEMENT CAPABILITIES | 42.4
CORE REVENUE MANAGEMENT CAPABILITIES | 264.3
CORE SELF SERVICE CAPABILITIES | 1050.1
CORE SELF SERVICE CAPABILITIES | 881.6
CORE SUPPORTING CAPABILITIES | 716
CORE SUPPORTING CAPABILITIES | 
CORE SUPPORTING CAPABILITIES | 195.7
CORE SUPPORTING CAPABILITIES | 
CORE SUPPORTING CAPABILITIES | 1993.6000000000001
CORE SUPPORTING CAPABILITIES | 1190.8000000000002
CORE SUPPORTING CAPABILITIES | 
CORE SUPPORTING CAPABILITIES | 1430.1
CORE SUPPORTING CAPABILITIES | 37.6
NON-FUNCTIONAL REQUIREMENT COVERAGE | 476.80000000000007
NON-FUNCTIONAL REQUIREMENT COVERAGE | 329
NON-FUNCTIONAL REQUIREMENT COVERAGE | 4060.199999999999
NON-FUNCTIONAL REQUIREMENT COVERAGE | 22.4
NON-FUNCTIONAL REQUIREMENT COVERAGE | 1417.5999999999997
NON-FUNCTIONAL REQUIREMENT COVERAGE | 320
NON-FUNCTIONAL REQUIREMENT COVERAGE | 2403.7000000000003
NON-FUNCTIONAL REQUIREMENT COVERAGE | 1048
NON-FUNCTIONAL REQUIREMENT COVERAGE | 1280.3000000000002
NON-FUNCTIONAL REQUIREMENT COVERAGE | 1273.3999999999999
OTHER ACTIVITIES | 
OTHER ACTIVITIES | 80
OTHER ACTIVITIES | 480
OTHER ACTIVITIES | 1067
OTHER ACTIVITIES | 652.8
OTHER ACTIVITIES | 0
OTHER ACTIVITIES | 
OTHER ACTIVITIES | 2894.4
OTHER ACTIVITIES | 264
OTHER ACTIVITIES | 1152
OTHER ACTIVITIES | 3284.7999999999997
OTHER ACTIVITIES | 
OTHER ACTIVITIES | 
OTHER ACTIVITIES | 720
OTHER ACTIVITIES | 208
OTHER ACTIVITIES | 
OTHER ACTIVITIES | 0
OTHER ACTIVITIES | 
REFERENCE IMPLEMENTATIONS | 
REFERENCE IMPLEMENTATIONS | 
REFERENCE IMPLEMENTATIONS | 
REFERENCE IMPLEMENTATIONS | 
REFERENCE IMPLEMENTATIONS | 
REFERENCE IMPLEMENTATIONS | 
REFERENCE IMPLEMENTATIONS | 46.1
Grand Total Hours 2026 | 34549
